,wavelength,0.087_R_LL,0.178_R_LL,0.262_R_LL,0.323_R_LL,0.375_R_LL,0.43_R_LL,0_R_LL
0,4e-07,0.008536496430760985,0.0064673435072237296,0.001943169800442801,0.003010008234832666,0.00196499140837804,0.0003400554662217413,0.020057952851032384
1,4.0251256281407034e-07,0.013511875617175593,0.0029389011633716945,0.004182096620751359,0.0016279138393388822,4.236982414335942e-05,0.0007347435915141746,0.03694220483344204
2,4.050251256281407e-07,0.008304724710176146,1.3181329392633894e-06,0.001970579523364508,2.0686597032543736e-05,0.0013870755117953773,0.002034507655614358,0.031055290971157612
3,4.0753768844221106e-07,0.0006756496079287891,0.003272630577902923,1.5461197482793766e-05,0.0021678188147427496,0.002475020503397395,0.0003273733110375888,0.008690385607509125
4,4.1005025125628137e-07,0.002837301546870027,0.007383217356349284,0.0025552701302306788,0.0031047781654812583,0.000449943461004695,0.000717794952763344,0.0012381722869671643
5,4.125628140703517e-07,0.013019844081181583,0.005421103578597743,0.004587061928757742,0.000682432100515483,0.0006128077632873066,0.0021372950660270354,0.0268014319851129
6,4.150753768844221e-07,0.01759635773925693,0.0006689671368992358,0.002105849642365358,0.000470477994577292,0.002645867995061089,0.0005081544083018752,0.060388327790055214
7,4.1758793969849244e-07,0.010255318190930746,0.0012534845200987898,6.121434333216483e-06,0.0030781919176868107,0.0014892721267330898,0.0004813788817597976,0.06485749266775498
8,4.201005025125628e-07,0.0008574296173137155,0.0067199860021084955,0.0025208043178161165,0.0028613151411187553,1.2799810933691173e-05,0.0022061802743342084,0.032280056647843225
9,4.2261306532663316e-07,0.003376561207554205,0.008709067374498235,0.005092401250307939,0.0003021403428135077,0.0018858457976449873,0.0009628270133443517,0.000652030269141339
10,4.251256281407035e-07,0.016526205842439162,0.00416668234603788,0.0030341335669834303,0.0009022797618801101,0.0027213595454353263,0.0001350312196198915,0.027621623500514073
11,4.276381909547738e-07,0.02469535200775485,5.184603142797244e-05,9.720108284905634e-05,0.003552358543642236,0.0005814040439726118,0.0020007136307321005,0.10539376724748806
12,4.301507537688442e-07,0.01784353790902627,0.0030209259339963137,0.00169809845068237,0.002918107614960282,0.00043782185153154495,0.001709054731979797,0.16070374545932986
13,4.3266331658291454e-07,0.003893991495914419,0.009280101138013525,0.005264821259692313,0.00028415907010660414,0.002716202537016301,2.246971860410483e-05,0.1376623201732502
14,4.351758793969849e-07,0.0012884212387513521,0.010143101278467606,0.0048022328931811974,0.0009266830556742308,0.002409126019104255,0.001281965029341454,0.037574935050387885
