wavelength,Big red-10x epiplan - 010-LCP,Big green-10x epiplan - 010-LCP,Big blue-10x epiplan - 006-LCP,Med red-10x epiplan - 010-LCP,Med green-10x epiplan - 022-LCP- 017,Med blue-10x epiplan - 002-LCP
97.20689392,0.172592593,0.13829291,0.094567901,0.097283951,0.10261194,0.080493827
97.74539948,0.16712125,0.143157895,0.098437887,0.109843789,0.109707602,0.076865857
98.28392792,0.17032419,0.136664385,0.093765586,0.103491272,0.097421857,0.08553616
98.82247925,0.202547147,0.147655703,0.108498653,0.127357335,0.112432937,0.097232427
99.36104584,0.181104357,0.15397312,0.098530902,0.082573455,0.107286017,0.066362715
99.89965057,0.167998003,0.159148739,0.110833749,0.120069895,0.108258154,0.085621568
100.4382706,0.165673125,0.139104614,0.109786388,0.108544461,0.099360439,0.081222057
100.9769058,0.163575042,0.157139551,0.11948928,0.117562033,0.103216848,0.100457721
101.515564,0.169415292,0.164064321,0.08045977,0.105197401,0.103472384,0.080209895
102.054245,0.170625303,0.143873336,0.099127484,0.117304896,0.094079853,0.098885119
102.5929565,0.174800797,0.151571165,0.12126494,0.107071713,0.078327172,0.09188247
103.1316833,0.177304965,0.14795335,0.104915627,0.112252384,0.107477704,0.070921986
103.6704254,0.156124498,0.155879672,0.086345382,0.083835341,0.116909754,0.067771084
104.2092056,0.180383588,0.141367323,0.109249818,0.119446468,0.102896871,0.098567613
104.7479858,0.159265691,0.14016298,0.107665592,0.112130985,0.097555297,0.082609774
105.2868118,0.174778761,0.132075472,0.101032448,0.119469027,0.083525081,0.082104228
105.8256454,0.158118589,0.148206278,0.08381286,0.103077308,0.101121076,0.047285464
106.364502,0.163738409,0.133131266,0.106637384,0.105173255,0.101189088,0.073938507
106.9033813,0.15677547,0.15654881,0.083086053,0.09421365,0.117189237,0.068249258
107.442276,0.176340926,0.143153527,0.087680627,0.117560617,0.095666206,0.069066863
107.9812012,0.175816024,0.134890048,0.095697329,0.107566766,0.091815915,0.079376855
108.5201492,0.16617357,0.158440388,0.085552268,0.095907298,0.105251296,0.066814596
109.0591125,0.177034669,0.139550715,0.089746742,0.100073764,0.090991604,0.081632653
109.5980988,0.182319118,0.158496373,0.108768567,0.132007667,0.10046164,0.091998083
110.1371002,0.157378618,0.142211169,0.085386271,0.113848362,0.106262718,0.087299689
110.6761398,0.169387272,0.148442677,0.089425124,0.092264017,0.098961785,0.080198722
111.2151947,0.178736893,0.149774775,0.081931236,0.108997805,0.108558559,0.073640575
111.7542648,0.184710351,0.149107532,0.102089269,0.10351377,0.107313888,0.085470085
112.2933502,0.16374269,0.153036615,0.076959064,0.095204678,0.105897829,0.073450292
112.8324661,0.18011976,0.140876565,0.088383234,0.117844311,0.094141324,0.078323353
113.3715973,0.171046457,0.141285211,0.104645706,0.114500235,0.088908451,0.076959174
113.9107666,0.188727783,0.142607174,0.120439663,0.133536015,0.105643045,0.097988775
114.4499359,0.178441369,0.132277493,0.107064822,0.117504249,0.08944903,0.077688759
114.9891205,0.184022166,0.151971174,0.102747633,0.108058185,0.119966087,0.077349342
115.5283508,0.178190255,0.137953651,0.105104408,0.115081206,0.100349803,0.094199536
116.0675964,0.186276767,0.132413198,0.110292425,0.133087727,0.08949752,0.102463735
116.6068573,0.185483871,0.156437768,0.112211982,0.128341014,0.109227468,0.093778802
117.1461334,0.190577652,0.123336291,0.098721591,0.121212121,0.074977817,0.074810606
117.6854324,0.198471515,0.157109358,0.115099583,0.115794349,0.112769132,0.092403891
118.2247543,0.186308293,0.130863656,0.11095796,0.120606478,0.087900044,0.098782449
118.7641068,0.180393074,0.130724575,0.105521759,0.097098737,0.0885831,0.078614881
119.3034592,0.183079057,0.149659864,0.082061951,0.116042534,0.101615646,0.075589459
119.8428497,0.200555813,0.142676768,0.111162575,0.121352478,0.100799663,0.077813803
120.3822479,0.173156207,0.154766905,0.092762254,0.109482364,0.104577908,0.074438846
120.9216766,0.181818182,0.139796581,0.098135198,0.097668998,0.109067301,0.085314685
121.4611282,0.172093023,0.138865004,0.083953488,0.09627907,0.097592433,0.07372093
122.0005875,0.181651796,0.14713217,0.097002974,0.112788836,0.104530341,0.094715168
122.5400696,0.191420664,0.146190068,0.097555351,0.115083026,0.106806507,0.072186347
123.0795822,0.179932356,0.152844846,0.096505073,0.101916573,0.106445518,0.066290868
123.6191101,0.186338186,0.136315678,0.099664054,0.117357223,0.088415277,0.089361702
124.1586533,0.186932849,0.143793706,0.100952813,0.122277677,0.098994755,0.092785844
124.6982193,0.180797434,0.133461047,0.102428964,0.110219982,0.09088974,0.065307058
125.2378082,0.179493088,0.142109669,0.096774194,0.101382488,0.095646714,0.07235023
125.7774124,0.189997767,0.150911759,0.105380665,0.108506363,0.121567805,0.074346952
126.3170395,0.183575978,0.148917934,0.086897179,0.099181074,0.089565031,0.06255687
126.8566895,0.207745691,0.153601695,0.104544437,0.125811507,0.115254237,0.096485337
127.396347,0.170938215,0.147887324,0.094279176,0.095881007,0.098591549,0.06979405
127.9360428,0.186184812,0.149144764,0.096980787,0.104757548,0.119315811,0.069304666
128.4757385,0.189074693,0.153620762,0.100780379,0.120178372,0.112390121,0.074024526
129.0154724,0.195592912,0.147366221,0.095865516,0.123125852,0.101379599,0.082689687
129.5552216,0.181485714,0.142887205,0.092342857,0.113828571,0.108164983,0.0864
130.094986,0.192711827,0.151877837,0.100156495,0.127878381,0.115146513,0.093226023
130.6347656,0.180931264,0.142353185,0.099778271,0.123059867,0.102510894,0.083370288
131.1745605,0.198409091,0.143586471,0.105909091,0.114090909,0.086577324,0.088636364
131.714386,0.181354051,0.148201736,0.08945616,0.130743618,0.107895825,0.08390677
132.2542419,0.1854083,0.127325946,0.101294065,0.114457831,0.08739285,0.060910308
132.7941132,0.203017833,0.158915537,0.106538637,0.11911294,0.100938478,0.097622314
133.3339691,0.171171171,0.12720403,0.096621622,0.106306306,0.099706129,0.06509009
133.8738708,0.198719364,0.149852879,0.101788474,0.113270038,0.090584279,0.081033341
134.4138031,0.200356189,0.156128504,0.092163847,0.111308994,0.113975854,0.084372217
134.9537506,0.19690024,0.142049026,0.110237939,0.119624536,0.087366436,0.084915957
135.4937134,0.193822739,0.156634035,0.096463742,0.110787825,0.099979171,0.087063563
136.0336761,0.192153366,0.123588457,0.089612127,0.115916184,0.094521121,0.086937138
136.5736847,0.205702648,0.157432574,0.082597873,0.093007468,0.113736149,0.077619371
137.1136932,0.182406787,0.141101782,0.083724046,0.113418174,0.108130248,0.056039294
137.6537323,0.196919692,0.144009932,0.091749175,0.108910891,0.099110283,0.074367437
138.1938019,0.211061947,0.144236696,0.105088496,0.124557522,0.107458393,0.089823009
138.7338562,0.200802318,0.137614679,0.100958324,0.123467796,0.094453711,0.084466236
139.273941,0.191635318,0.143613771,0.103120159,0.107324629,0.090853534,0.069041823
139.8140717,0.193946188,0.136073998,0.087892377,0.107623318,0.100719424,0.065470852
140.3542023,0.197201574,0.136027903,0.088981198,0.10647136,0.083504309,0.068867512
140.8943481,0.200606586,0.152936378,0.101386482,0.120667244,0.105016313,0.097270364
141.4345093,0.196613152,0.124537608,0.096767099,0.119639323,0.094122483,0.085990763
141.9747009,0.193619849,0.160892075,0.084182543,0.105671245,0.094583831,0.07509969
142.5149078,0.199521323,0.140502513,0.088337685,0.119451697,0.101105528,0.064403829
143.05513,0.192350456,0.154006243,0.096064043,0.116522126,0.097190427,0.070713809
143.5953674,0.209752981,0.146631706,0.106260647,0.11818569,0.108511497,0.097316865
144.1356201,0.211067367,0.139258364,0.113735783,0.121172353,0.089480048,0.092519685
144.6759033,0.191570027,0.141216761,0.099910794,0.118867083,0.088033844,0.088983051
145.2162018,0.193096009,0.139380531,0.100539374,0.116289105,0.10237329,0.083926645
145.7565155,0.190713821,0.13779291,0.082664352,0.120199609,0.089525335,0.063354307
146.2968597,0.205907534,0.142420538,0.120291096,0.134203767,0.113488183,0.110445205
146.837204,0.198768316,0.146598985,0.091314504,0.115098747,0.107614213,0.081970694
147.3775787,0.193124589,0.135145862,0.090650317,0.116487848,0.09188331,0.075760893
147.9179688,0.20952381,0.152825256,0.097835498,0.128138528,0.097928816,0.082034632
148.458374,0.205429671,0.146918489,0.083796494,0.124198375,0.1027833,0.062847371
148.9987946,0.206027987,0.141020408,0.102906351,0.119052745,0.099183673,0.091711518
149.5392303,0.167663344,0.11697486,0.064451827,0.097674419,0.070018699,0.050498339
150.0796967,0.209743479,0.136506071,0.094848028,0.123302436,0.099294947,0.081698642
150.6201782,0.191526157,0.149707838,0.095979248,0.118460873,0.102961918,0.078253351
151.160675,0.190025253,0.140444974,0.077651515,0.107744108,0.095947557,0.069444444
151.7011871,0.206535669,0.14159647,0.098462196,0.120247757,0.087244284,0.078171721
152.2417145,0.204328453,0.146482814,0.100148525,0.120729896,0.095923261,0.098875451
152.7822571,0.193506773,0.142857143,0.102343582,0.12943453,0.10134999,0.083207912
153.3228302,0.200351108,0.118338399,0.088215932,0.116743472,0.077406282,0.08053544
153.8634186,0.195289079,0.141387656,0.080299786,0.116916488,0.111335216,0.063811563
154.4040375,0.208155423,0.144120603,0.104611443,0.125533732,0.102110553,0.09030743
154.9446411,0.202426564,0.137720902,0.101745424,0.120051086,0.097704652,0.094721158
155.4852905,0.182890223,0.146490536,0.084691252,0.112349914,0.108241325,0.076758148
156.0259399,0.192033543,0.128240649,0.094339623,0.119287212,0.088066495,0.076519916
156.5666046,0.19531082,0.136532811,0.086040009,0.116369112,0.099902057,0.074639707
157.1072998,0.199352751,0.147140039,0.08824164,0.114778857,0.094477318,0.082416397
157.6480103,0.197878329,0.142175383,0.07555748,0.109547521,0.095645258,0.066464603
158.1887207,0.217230903,0.138250705,0.100260417,0.113715278,0.101571947,0.094401042
158.7294769,0.205452984,0.151780386,0.08802061,0.123014169,0.090113388,0.080936024
159.2702332,0.186249468,0.132388179,0.095572584,0.117071094,0.102236422,0.076628352
159.8110199,0.184140969,0.147627774,0.084140969,0.126651982,0.097332519,0.062334802
160.3518066,0.198719317,0.1419445,0.103308431,0.128708645,0.101217808,0.086659552
160.8926086,0.222150259,0.151240169,0.106649396,0.136226252,0.097398669,0.101468048
161.4334412,0.184727433,0.14670174,0.080556169,0.10483337,0.110076892,0.063341426
161.9742737,0.202694035,0.14496124,0.093222151,0.125935429,0.108139535,0.080607227
162.515152,0.189942954,0.138524751,0.087893514,0.117684344,0.09254549,0.062539615
163.0560303,0.181066376,0.146487893,0.080957563,0.11468988,0.107264359,0.073993471
163.5969086,0.203556889,0.144705414,0.085065352,0.118491536,0.098328025,0.07306621
164.1378326,0.184631804,0.143057504,0.090074707,0.096691569,0.094369866,0.078121665
164.6787567,0.180349063,0.132887753,0.089851325,0.106442577,0.099862394,0.080801551
165.2197113,0.191792473,0.141920095,0.089517329,0.130342335,0.0952097,0.084414204
165.7606506,0.187976476,0.132188498,0.088216075,0.133086474,0.086661342,0.076671749
166.3016357,0.193569411,0.123337364,0.088203346,0.102107321,0.094518339,0.071692375
166.8426514,0.19388419,0.147271268,0.083712861,0.107135112,0.090489567,0.071134244
167.3836365,0.192456897,0.136842105,0.087931034,0.121551724,0.104678363,0.077586207
167.9246979,0.184419382,0.1514015,0.091060986,0.120509607,0.107185156,0.068086884
168.4657135,0.189489425,0.140692641,0.076052126,0.106601154,0.098583235,0.066225166
169.0067902,0.177530916,0.123141824,0.095158248,0.125759799,0.095218963,0.089289457
169.5478516,0.199697428,0.156496063,0.083639507,0.115625675,0.086614173,0.074778474
170.0889587,0.187617653,0.13350424,0.074879732,0.116084501,0.089134293,0.071533152
