,wavelength,0.06_R_LL,0.06_R_RR,0.14_R_LL,0.14_R_RR,0.23_R_LL,0.23_R_RR,0.35_R_LL,0.35_R_RR,0.44_R_LL,0.44_R_RR,0_R_LL,0_R_RR
0,3e-07,0.00039734906332245223,6.584084412037324e-05,0.0022665490278035573,0.0002783162038979113,0.002324795135551732,0.0002537259885996569,0.000912819339370547,2.5065082404070195e-06,0.00046070249721817446,1.5887569106722396e-06,0.0019031737416614345,0.00025595766229252254
1,3.1020408163265303e-07,0.001140395916119534,0.00025074530120266727,0.0022420572685872015,3.865749865312275e-06,6.589433737300408e-05,0.0001167221231147794,0.0018452446041449637,0.00010645390734994536,6.222491705759514e-05,7.656083136759534e-05,0.005280025608985274,0.0001862131538567209
2,3.204081632653061e-07,0.00414057982049971,0.00022103801119638663,4.5224705746159825e-08,0.0001475898293266277,0.0025780044120567863,0.0002455675041580339,0.001311348213585639,0.00033869763032114006,9.109421877944632e-05,6.422214318060852e-05,0.006739111741065078,9.585618729606177e-05
3,3.3061224489795917e-07,0.005823748420803045,0.00013762011595951516,0.001649416978087035,0.0002661202402485463,0.001512479625658331,3.7439596869350436e-07,0.0002364730325022938,6.282241193724487e-05,0.0006340401379277984,2.895295930436646e-07,0.007585134300264225,6.150050143305852e-05
4,3.408163265306122e-07,0.006740612193400271,9.914385091641656e-05,0.003817575476165854,0.0002224780989270637,2.841893061460139e-05,0.00017951684774079874,0.0021419820947824316,0.00026570375694148215,0.0017338108288640606,0.00016331919116877098,0.009036821837347638,7.173130607191741e-05
5,3.510204081632653e-07,0.007751032298429074,0.00010849807033165417,0.005024694477376368,0.00016442402970732886,0.0015987874266593742,0.0002801252571566889,0.0006859358237007409,1.9256427561315905e-05,0.0006224403465343656,0.000327161074367527,0.010784355705343553,0.00012347565165992096
6,3.6122448979591835e-07,0.008467255390196455,0.00015879469191467808,0.005743655259184026,0.00014844807733596286,0.003278210732647144,0.00022971520035595052,0.0006442896429513667,0.0003071176827225486,0.0009715728834484548,9.444688209791313e-07,0.010196387849463518,0.0001999593644314713
7,3.714285714285714e-07,0.0069487200955317,0.00022148379701844272,0.006115316187886772,0.00017514702729796148,0.004149239194374927,0.0001708652608856219,0.0026328626429664432,0.00021888403303344471,0.0008760619293400584,0.00033761181111599737,0.004246317906324529,0.00021388975926750955
8,3.8163265306122444e-07,0.0020922897140835048,0.00020925367076170818,0.005315636621338996,0.00022447465658419945,0.004638740454748751,0.00015397572837368996,0.0024181294457642495,3.4850797868068055e-05,0.0019262717189454253,6.0902114387482844e-05,0.0004057277415432837,8.740685315911644e-05
9,3.9183673469387754e-07,0.0008745208778566826,7.2340943124593e-05,0.002436206539721061,0.00023465384129192336,0.004866519813681768,0.00017920295432621278,0.0013164277631197443,2.893516984642027e-06,9.682550825757755e-05,0.00010168664562652319,0.017298704331732296,3.4035507285475995e-06
10,4.020408163265306e-07,0.013639655097980555,7.701855893857303e-06,2.8228453919576914e-06,0.00013252614766460545,0.004252174795786015,0.00022862782640675267,0.0006375514102187797,3.571726040603341e-05,0.0007469402955889828,0.0003243632081230619,0.03293903497385202,0.00015619058350715734
11,4.122448979591837e-07,0.02082179625025142,0.00016897049236950593,0.004972349152163924,4.902540421168021e-06,0.0021252134045264518,0.0002462670460897383,0.0004554231543445662,5.379542090419278e-05,0.0021783777574529415,0.0002778749669187524,0.004174095236433293,0.00014785932274679407
12,4.224489795918367e-07,0.0015806593315523911,0.00015187645742723873,0.013647859598133666,8.821035504715376e-05,2.804146898382896e-05,0.000156473014052987,0.0006749192514426002,3.980827249322311e-05,0.002642886085408178,0.0001455899723354533,0.04213556047222349,2.203606549950632e-06
13,4.3265306122448976e-07,0.02438850402944365,1.6859101298949302e-06,0.0068054056170706876,0.00022150377175043101,0.0026704611652809992,1.556018047639879e-05,0.001491942375254422,9.07716498247774e-06,0.002543058044993874,6.693407301017506e-05,0.11762429089872078,0.00017971185100165447
14,4.428571428571428e-07,0.04789489207296574,0.00018330207494858303,0.002048866465046387,5.110447577329064e-05,0.00891477238852133,6.023398738679856e-05,0.003114948704102477,6.790632775307708e-06,0.0024882117739934255,4.177516060507959e-05,0.0008975395458819202,3.834087373650957e-05
