,wavelength,test1_R_LL,test1_R_pL,test1_R_ps,test1_R_sL,test1_R_sp
0,3e-07,0.00030118213127331073,0.00013858867810125568,0.00014895937110741232,0.00014895937110741495,0.00014895937110741495
1,3.0505050505050505e-07,0.005255228741635346,0.0012419723969602572,0.001318625162528496,0.00131862516252847,0.00131862516252847
2,3.1010101010101007e-07,0.003612416603081211,0.0008561168259657333,0.0009412124519546502,0.0009412124519546521,0.0009412124519546521
3,3.1515151515151514e-07,0.0005164737038329254,0.0001840765133699744,0.00019974537990340879,0.0001997453799033981,0.0001997453799033981
4,3.202020202020202e-07,0.007286847822814429,0.0017088124569629552,0.0018193473000096953,0.0018193473000096942,0.0018193473000096942
5,3.252525252525252e-07,0.0013358303246684537,0.0003501610593828524,0.00040051608552934273,0.0004005160855293379,0.0004005160855293379
6,3.303030303030303e-07,0.005202327501968565,0.0012580689064674725,0.0013232325503106475,0.0013232325503106904,0.0013232325503106904
7,3.3535353535353536e-07,0.005647042325835977,0.0013357646101805648,0.0014398976721294652,0.0014398976721295101,0.0014398976721295101
8,3.404040404040404e-07,0.002594440619185338,0.0006638110418574296,0.0006976212844001896,0.0006976212844001859,0.0006976212844001859
9,3.4545454545454544e-07,0.009256278059062048,0.0021804201179674476,0.0023178859396355924,0.002317885939635542,0.002317885939635542
10,3.5050505050505046e-07,0.0015684207023221718,0.0004250036678014079,0.0004497801141533321,0.0004497801141533491,0.0004497801141533491
11,3.5555555555555553e-07,0.01184280126087587,0.0027956460050280727,0.00295388236928845,0.0029538823692884827,0.0029538823692884827
12,3.606060606060606e-07,0.002112563071473933,0.0005518818803262927,0.0005824450210924088,0.0005824450210924144,0.0005824450210924144
13,3.6565656565656566e-07,0.013389611193109963,0.0031714051768228966,0.00333803988968666,0.00333803988968672,0.00333803988968672
14,3.707070707070707e-07,0.005453336518889002,0.0013350117368815862,0.0014033521374775156,0.0014033521374775997,0.0014033521374775997
15,3.7575757575757575e-07,0.01199061388881017,0.0028610680017589476,0.0029958673203277996,0.002995867320327804,0.002995867320327804
16,3.8080808080808076e-07,0.014874767838815197,0.0035468072006010795,0.003729490067795523,0.0037294900677955632,0.0037294900677955632
17,3.8585858585858583e-07,0.005223970210318377,0.001286356567986772,0.0013289941904842204,0.001328994190484181,0.001328994190484181
18,3.909090909090909e-07,0.03067824623277119,0.0072734012339972925,0.0076376577809694375,0.007637657780969648,0.007637657780969648
19,3.9595959595959597e-07,0.0003123188605275357,0.00011896111190973285,0.0001388827526367465,0.00013888275263676577,0.00013888275263676577
20,4.01010101010101e-07,0.03804609186668897,0.00907102430100254,0.009425911825840289,0.009425911825840343,0.009425911825840343
21,4.0606060606060605e-07,0.025376192632225174,0.00600184807963978,0.0064001353105072965,0.006400135310507267,0.006400135310507267
22,4.1111111111111107e-07,0.014422546348402824,0.003549537482288016,0.0035318144403879543,0.003531814440387927,0.003531814440387927
23,4.1616161616161614e-07,0.08472545358648774,0.02012011192646238,0.021082942664674864,0.021082942664674195,0.021082942664674195
24,4.212121212121212e-07,0.01182170282595135,0.0027408476480220954,0.0031008899493231664,0.0031008899493232345,0.0031008899493232345
25,4.262626262626263e-07,0.0934903470408262,0.02269171821754297,0.02281993337021614,0.022819933370215654,0.022819933370215654
26,4.313131313131313e-07,0.18915203047149157,0.04480260874582409,0.04725292285942651,0.047252922859426214,0.047252922859426214
27,4.363636363636363e-07,0.005991537885581223,0.0016951835018154272,0.0012865541329242169,0.0012865541329242687,0.0012865541329242687
28,4.414141414141414e-07,0.6538537830889729,0.15862293276856698,0.15968542745574432,0.1596854274557432,0.1596854274557432
29,4.4646464646464644e-07,0.8953347794931623,0.21230631128294342,0.22364322332214706,0.22364322332214778,0.22364322332214778
30,4.515151515151515e-07,0.9425150427512908,0.22243469023943216,0.23665985781498483,0.23665985781498602,0.23665985781498602
31,4.565656565656566e-07,0.9481576312347961,0.22663204019725616,0.23529999912604474,0.2352999991260413,0.2352999991260413
32,4.616161616161616e-07,0.927223285804736,0.2210176265070421,0.23069309164514173,0.23069309164514873,0.23069309164514873
33,4.666666666666666e-07,0.8391755671178217,0.1957259642648379,0.2131318230838288,0.2131318230838268,0.2131318230838268
34,4.717171717171717e-07,0.473306658985405,0.10810041388494532,0.12254006973368375,0.12254006973368574,0.12254006973368574
35,4.7676767676767675e-07,9.561937113381946e-05,7.403265719005698e-05,1.1518021232575608e-05,1.1518021232575154e-05,1.1518021232575154e-05
36,4.818181818181818e-07,0.14990069073290907,0.035335808712288176,0.037724411718995314,0.037724411718994696,0.037724411718994696
37,4.868686868686869e-07,0.12257168336112466,0.02797864399616275,0.03178890225360651,0.031788902253606095,0.031788902253606095
38,4.919191919191918e-07,0.011121983568860341,0.00232170680245157,0.0031648368504193424,0.003164836850419305,0.003164836850419305
39,4.969696969696969e-07,0.021531417007699456,0.005348202468217804,0.005184572724316921,0.005184572724316925,0.005184572724316925
40,5.02020202020202e-07,0.06010361217929583,0.01407877232957592,0.015227884351276285,0.015227884351276555,0.015227884351276555
41,5.07070707070707e-07,0.0361722831506289,0.00814527924820704,0.009532439190919274,0.009532439190918843,0.009532439190918843
42,5.121212121212121e-07,0.0018729978404401523,0.00037257722458823605,0.0006126993666940549,0.0006126993666940603,0.0006126993666940603
43,5.171717171717172e-07,0.010168077637942582,0.002574032039926988,0.0024217663841031634,0.0024217663841032125,0.0024217663841032125
44,5.222222222222223e-07,0.028425862856116514,0.0066986540369519945,0.007167526257332708,0.007167526257332584,0.007167526257332584
45,5.272727272727272e-07,0.021443742636582892,0.0048510265820939855,0.005639138868769481,0.005639138868769613,0.005639138868769613
46,5.323232323232323e-07,0.0036287796065813146,0.0007631656792875176,0.0010775691030400353,0.0010775691030400418,0.0010775691030400418
47,5.373737373737374e-07,0.0017445922593784747,0.0005163609664167458,0.0003894836127936528,0.0003894836127936544,0.0003894836127936544
48,5.424242424242424e-07,0.012491201397930774,0.003028491928367008,0.0030759620704693667,0.0030759620704693806,0.0030759620704693806
49,5.474747474747474e-07,0.01604127769169061,0.0037063395820846863,0.0041280066181554114,0.004128006618155511,0.004128006618155511
50,5.525252525252525e-07,0.008040668033284081,0.0017748031748369994,0.0021971713689281124,0.0021971713689280994,0.0021971713689280994
51,5.575757575757575e-07,0.0004804790424611019,0.00010982304164935106,0.00019589022082658366,0.00019589022082657772,0.00019589022082657772
52,5.626262626262626e-07,0.0021951892219548856,0.0006116970759093373,0.0005037456970387426,0.0005037456970387448,0.0005037456970387448
53,5.676767676767677e-07,0.008315769671809338,0.002012821243228132,0.0020517378443035256,0.0020517378443035113,0.0020517378443035113
54,5.727272727272727e-07,0.009859274105388826,0.0022722330604646158,0.002547363165806299,0.0025473631658062064,0.0025473631658062064
55,5.777777777777778e-07,0.005379975202178559,0.0011872759219075147,0.00148302033960325,0.0014830203396033249,0.0014830203396033249
56,5.828282828282829e-07,0.0006642046144461856,0.00014837708126041348,0.0002447004507998742,0.00024470045079987517,0.00024470045079987517
57,5.878787878787878e-07,0.0006644319500986426,0.00022493906411204842,0.00015145353836940482,0.0001514535383694083,0.0001514535383694083
58,5.929292929292929e-07,0.004198869888087981,0.0010529621875621684,0.0010119591836737236,0.001011959183673739,0.001011959183673739
59,5.97979797979798e-07,0.006606502808139984,0.0015517197718031511,0.001673968034117647,0.0016739680341176753,0.0016739680341176753
60,6.030303030303029e-07,0.00536585420871841,0.0012082101285715145,0.0014339565399011471,0.0014339565399011688,0.0014339565399011688
61,6.08080808080808e-07,0.0020789668291206313,0.00045152800066275433,0.0006192263540378775,0.0006192263540378575,0.0006192263540378575
62,6.131313131313131e-07,6.0262725800176904e-05,3.706421853592641e-05,5.760943397639272e-05,5.760943397639338e-05,5.760943397639338e-05
63,6.181818181818181e-07,0.0008553151347556368,0.0002640455565531595,0.00019611286440993956,0.00019611286440993908,0.00019611286440993908
64,6.232323232323232e-07,0.0031432167684003714,0.0007868270712106446,0.0007588883718114948,0.0007588883718114873,0.0007588883718114873
65,6.282828282828283e-07,0.004520273992099365,0.0010609906123002692,0.0011465068838223136,0.001146506883822306,0.001146506883822306
66,6.333333333333333e-07,0.003813253968275701,0.0008589486479568007,0.0010219206875712596,0.0010219206875712436,0.0010219206875712436
