,wavelength,0.06_R_LL,0.14_R_LL,0.23_R_LL,0.35_R_LL,0.44_R_LL,0_R_LL
0,3e-07,0.00039734906332245223,0.0022665490278035573,0.002324795135551732,0.000912819339370547,0.00046070249721817446,0.0019031737416614345
1,3.1020408163265303e-07,0.001140395916119534,0.0022420572685872015,6.589433737300408e-05,0.0018452446041449637,6.222491705759514e-05,0.005280025608985274
2,3.204081632653061e-07,0.00414057982049971,4.5224705746159825e-08,0.0025780044120567863,0.001311348213585639,9.109421877944632e-05,0.006739111741065078
3,3.3061224489795917e-07,0.005823748420803045,0.001649416978087035,0.001512479625658331,0.0002364730325022938,0.0006340401379277984,0.007585134300264225
4,3.408163265306122e-07,0.006740612193400271,0.003817575476165854,2.841893061460139e-05,0.0021419820947824316,0.0017338108288640606,0.009036821837347638
5,3.510204081632653e-07,0.007751032298429074,0.005024694477376368,0.0015987874266593742,0.0006859358237007409,0.0006224403465343656,0.010784355705343553
6,3.6122448979591835e-07,0.008467255390196455,0.005743655259184026,0.003278210732647144,0.0006442896429513667,0.0009715728834484548,0.010196387849463518
7,3.714285714285714e-07,0.0069487200955317,0.006115316187886772,0.004149239194374927,0.0026328626429664432,0.0008760619293400584,0.004246317906324529
8,3.8163265306122444e-07,0.0020922897140835048,0.005315636621338996,0.004638740454748751,0.0024181294457642495,0.0019262717189454253,0.0004057277415432837
9,3.9183673469387754e-07,0.0008745208778566826,0.002436206539721061,0.004866519813681768,0.0013164277631197443,9.682550825757755e-05,0.017298704331732296
10,4.020408163265306e-07,0.013639655097980555,2.8228453919576914e-06,0.004252174795786015,0.0006375514102187797,0.0007469402955889828,0.03293903497385202
11,4.122448979591837e-07,0.02082179625025142,0.004972349152163924,0.0021252134045264518,0.0004554231543445662,0.0021783777574529415,0.004174095236433293
12,4.224489795918367e-07,0.0015806593315523911,0.013647859598133666,2.804146898382896e-05,0.0006749192514426002,0.002642886085408178,0.04213556047222349
13,4.3265306122448976e-07,0.02438850402944365,0.0068054056170706876,0.0026704611652809992,0.001491942375254422,0.002543058044993874,0.11762429089872078
14,4.428571428571428e-07,0.04789489207296574,0.002048866465046387,0.00891477238852133,0.003114948704102477,0.0024882117739934255,0.0008975395458819202
15,4.5306122448979585e-07,0.0017954690015888025,0.024375031482581147,0.0061003996521260765,0.004735886774750388,0.002712045525738281,0.7840050352783127
16,4.6326530612244895e-07,0.15787347271159027,0.00777236191194562,0.00017881990724900304,0.004039310110285843,0.003143385170933633,0.9088390053380199
17,4.7346938775510204e-07,0.11289393611686566,0.020523309427653073,0.01217977282984325,0.0007655570792416082,0.0033414250004372994,0.8509919592654894
18,4.836734693877551e-07,0.8293871477712766,0.044123978940999606,0.008264128287220902,0.001084115131300289,0.002551499076493546,0.31279667460100063
19,4.938775510204081e-07,0.9095494450876104,0.011510849322131258,0.003915903721041319,0.006426612944764982,0.0007429826278004741,0.0891310021963293
20,5.040816326530612e-07,0.8447701413780329,0.13604121431754232,0.02292481253472315,0.004009678611867257,0.0001525814479430725,0.056233776525064484
21,5.142857142857142e-07,0.33643582148049866,0.0017485830188657587,7.588020045569949e-06,0.0005438997935975285,0.0028785597664842807,0.015796766791237326
22,5.244897959183673e-07,0.07105308638762936,0.6938474466936239,0.03723087381231127,0.008975329081701412,0.004537567567141045,0.036886780652300354
23,5.346938775510204e-07,0.07947529804737563,0.8967052731557307,0.001590257017869236,0.0023484295521750613,0.0009158364026582867,3.69145022057214e-06
24,5.448979591836735e-07,0.004281569869370577,0.8991503010638784,0.06583561522649922,0.006026485976497331,0.0016173047880563738,0.019451061697717105
25,5.551020408163265e-07,0.04385324967247252,0.7507982569972573,0.0031333467320086494,0.008884278983558976,0.005865431987739655,0.008635971726670393
26,5.653061224489795e-07,0.005395717796928187,0.09595870073004133,0.15727080869702784,0.0029973086950060685,0.0006289230898923649,0.001658569523536249
27,5.755102040816326e-07,0.011415317586408603,0.10715315400831157,0.004600702775349363,0.014748061748980343,0.00436143362749515,0.011437770873840505
28,5.857142857142857e-07,0.017916412683258543,0.06204004533676892,0.6903105497810358,0.002470541837722736,0.004843874777427262,0.0038587085933356963
29,5.959183673469387e-07,0.0007092203772787549,0.005559050077841287,0.8897898058193495,0.020161212254893007,0.0014537724634545743,0.0008665856082572185
30,6.061224489795918e-07,0.0070163119805677285,0.04417775830967204,0.9065102536118763,0.005660405941631896,0.008287792225181936,0.006651517017768268
31,6.163265306122449e-07,0.010249091106039745,0.01038436661704722,0.8307424699350837,0.0238893773690389,0.0003515498910238545,0.0039043333446795473
32,6.265306122448979e-07,0.0011337999394226488,0.005799103954335402,0.4305600451875661,0.02002791010446906,0.01063225894893812,1.903526570609532e-07
33,6.36734693877551e-07,0.0024069329617738464,0.020789765520358775,0.010598560217597452,0.018713997156083777,0.00030762851604470285,0.002842386630043203
34,6.46938775510204e-07,0.006924780808728884,0.006021790318475879,0.125898932324478,0.06193432209871296,0.01278698865855443,0.004236019426269658
