,wavelength,0.06_R_LL,0.06_R_RR,0.06_R_pp,0.06_R_sp,0.14_R_LL,0.14_R_RR,0.14_R_pp,0.14_R_sp,0.23_R_LL,0.23_R_RR,0.23_R_pp,0.23_R_sp,0.35_R_LL,0.35_R_RR,0.35_R_pp,0.35_R_sp,0.44_R_LL,0.44_R_RR,0.44_R_pp,0.44_R_sp,0_R_LL,0_R_RR,0_R_pp,0_R_sp
0,3e-07,0.00039734906332245223,6.584084412037324e-05,6.0388600291284276e-05,0.00016779233383918527,0.0022665490278035573,0.0002783162038979113,0.0008632091401243304,0.00036137027701551645,0.002324795135551732,0.0002537259885996569,0.0008579754995370044,0.0003774675379166126,0.000912819339370547,2.5065082404070195e-06,0.0002261476035705964,0.00020571542948013066,0.00046070249721817446,1.5887569106722396e-06,9.071931054012467e-05,0.00012665645935269122,0.0019031737416614345,0.00025595766229252254,0.0007335751240257718,0.0003119748411360882
1,3.1020408163265303e-07,0.001140395916119534,0.00025074530120266727,0.0005040719871465279,0.0001723399982320819,0.0022420572685872015,3.865749865312275e-06,0.0005531564425641946,0.0005240582463326452,6.589433737300408e-05,0.0001167221231147794,1.7106208466903145e-05,7.777922057685388e-05,0.0018452446041449637,0.00010645390734994536,0.0006104087633452703,0.00031567651761661795,6.222491705759514e-05,7.656083136759534e-05,8.475911235739679e-06,6.315329277445347e-05,0.005280025608985274,0.0001862131538567209,0.0015974431813302182,0.0010389722739801213
2,3.204081632653061e-07,0.00414057982049971,0.00022103801119638663,0.0013303180442109435,0.0007728821789463699,4.5224705746159825e-08,0.0001475898293266277,4.0827415017089245e-05,3.795497468815528e-05,0.0025780044120567863,0.0002455675041580339,0.0009246562321663368,0.0004295779952726674,0.001311348213585639,0.00033869763032114006,0.0006246838763405695,0.00017231044988269054,9.109421877944632e-05,6.422214318060852e-05,1.0213583609052114e-05,6.861229317118726e-05,0.006739111741065078,9.585618729606177e-05,0.0018564556344967456,0.001442133906089098
3,3.3061224489795917e-07,0.005823748420803045,0.00013762011595951516,0.0016820887817435265,0.0011923769375434933,0.001649416978087035,0.0002661202402485463,0.0006700253884134524,0.00025749995946571424,0.001512479625658331,3.7439596869350436e-07,0.0003425273132310348,0.0003829316680101574,0.0002364730325022938,6.282241193724487e-05,2.7980802869993155e-05,0.00011948359315487947,0.0006340401379277984,2.895295930436646e-07,0.00014209667134421284,0.00015666498369311364,0.007585134300264225,6.150050143305852e-05,0.002008497769345777,0.0016857148000974911
4,3.408163265306122e-07,0.006740612193400271,9.914385091641656e-05,0.0018619546211955048,0.0014389252479560422,0.003817575476165854,0.0002224780989270637,0.0012460339933076936,0.0007007271524137856,2.841893061460139e-05,0.00017951684774079874,8.073228033222331e-05,2.7775908536653846e-05,0.0021419820947824316,0.00026570375694148215,0.0008171172529828006,0.000336415179099905,0.0017338108288640606,0.00016331919116877098,0.0006365895697391136,0.0002626687835442281,0.009036821837347638,7.173130607191741e-05,0.00239135802473172,0.00201279002125799
5,3.510204081632653e-07,0.007751032298429074,0.00010849807033165417,0.0021325726639459335,0.00166371692524511,0.005024694477376368,0.00016442402970732886,0.001507579927437642,0.0009927086151377967,0.0015987874266593742,0.0002801252571566889,0.000667360714751093,0.00024142655395578496,0.0006859358237007409,1.9256427561315905e-05,0.0001218016737103424,0.00021734217341699887,0.0006224403465343656,0.000327161074367527,0.00039686756750996775,6.902307398210334e-05,0.010784355705343553,0.00012347565165992096,0.002927982976272743,0.0023491559141341277
6,3.6122448979591835e-07,0.008467255390196455,0.00015879469191467808,0.002390879623774097,0.0017786116991858742,0.005743655259184026,0.00014844807733596286,0.001674946622092032,0.001166222964646645,0.003278210732647144,0.00022971520035595052,0.0011079787461769665,0.0005799869378144177,0.0006442896429513667,0.0003071176827225486,0.00037945962468856874,8.607822585870659e-05,0.0009715728834484548,9.444688209791313e-07,0.00023228140212864793,0.00022802469119022507,0.010196387849463518,0.0001999593644314713,0.002902333881618492,0.0021296166687301823
7,3.714285714285714e-07,0.0069487200955317,0.00022148379701844272,0.002078784333550236,0.001389479711058892,0.006115316187886772,0.00017514702729796148,0.0018028611998148671,0.0012331735419263026,0.004149239194374927,0.0001708652608856219,0.0012861138779779176,0.0007919395248357476,0.0026328626429664432,0.00021888403303344471,0.0009166712296044006,0.00044918024864551345,0.0008760619293400584,0.00033761181111599737,0.00048174384319112995,0.00010940180761496926,0.004246317906324529,0.00021388975926750955,0.0013600010482746532,0.0008005502419081348
8,3.8163265306122444e-07,0.0020922897140835048,0.00020925367076170818,0.0007538376964186296,0.0003622325295093404,0.005315636621338996,0.00022447465658419945,0.001645516090301145,0.0010312769536463052,0.004638740454748751,0.00015397572837368996,0.0013958295729168103,0.0009112361836882372,0.0024181294457642495,3.4850797868068055e-05,0.0006620623275233522,0.0005105281542423846,0.0019262717189454253,6.0902114387482844e-05,0.0005752244372481655,0.00036950349210985723,0.0004057277415432837,8.740685315911644e-05,5.615086260695139e-05,0.00018922347888011677
9,3.9183673469387754e-07,0.0008745208778566826,7.2340943124593e-05,0.00014303638898038618,0.0003225123199603837,0.002436206539721061,0.00023465384129192336,0.0008672082346200897,0.00042663486662426395,0.004866519813681768,0.00017920295432621278,0.0014822482363497547,0.0009492614899782215,0.0013164277631197443,2.893516984642027e-06,0.00028519696348415074,0.00034818192602347397,9.682550825757755e-05,0.00010168664562652319,1.41934925048774e-05,8.737524083588159e-05,0.017298704331732296,3.4035507285475995e-06,0.0041618243519184065,0.004240834937036582
