,time,temperature
126,2018-11-01 09:23:04.567983,18.2
127,2018-11-01 09:23:04.873488,18.1
128,2018-11-01 09:23:05.178440,18.15
129,2018-11-01 09:23:05.484410,18.15
130,2018-11-01 09:23:05.787184,18.14
131,2018-11-01 09:23:06.100402,18.22
132,2018-11-01 09:23:06.397585,18.17
133,2018-11-01 09:23:06.704715,18.15
134,2018-11-01 09:23:07.007039,18.14
135,2018-11-01 09:23:07.317609,18.15
136,2018-11-01 09:23:07.618862,18.19
137,2018-11-01 09:23:07.920520,18.21
138,2018-11-01 09:23:08.227725,18.2
139,2018-11-01 09:23:08.531066,18.17
140,2018-11-01 09:23:08.836868,18.17
141,2018-11-01 09:23:09.149154,18.19
142,2018-11-01 09:23:09.445301,18.18
143,2018-11-01 09:23:09.753152,18.17
144,2018-11-01 09:23:10.058074,18.31
145,2018-11-01 09:23:10.364468,18.25
146,2018-11-01 09:23:10.666152,18.2
147,2018-11-01 09:23:10.971427,18.22
148,2018-11-01 09:23:11.276475,18.14
149,2018-11-01 09:23:11.577994,18.2
150,2018-11-01 09:23:11.886441,18.19
151,2018-11-01 09:23:12.189410,18.17
152,2018-11-01 09:23:12.495260,18.2
153,2018-11-01 09:23:12.797972,18.21
154,2018-11-01 09:23:13.106058,18.2
155,2018-11-01 09:23:13.414100,18.24
156,2018-11-01 09:23:13.712239,18.29
157,2018-11-01 09:23:14.017640,18.24
158,2018-11-01 09:23:14.321778,18.24
159,2018-11-01 09:23:14.640972,18.2
160,2018-11-01 09:23:14.931431,18.25
161,2018-11-01 09:23:15.237121,18.25
162,2018-11-01 09:23:15.568146,18.25
163,2018-11-01 09:23:15.848100,18.22
164,2018-11-01 09:23:16.152669,18.18
165,2018-11-01 09:23:16.457348,18.32
166,2018-11-01 09:23:16.764820,18.24
167,2018-11-01 09:23:17.064864,18.21
168,2018-11-01 09:23:17.370909,18.23
169,2018-11-01 09:23:17.675458,18.25
170,2018-11-01 09:23:17.983968,18.3
171,2018-11-01 09:23:18.284596,18.35
172,2018-11-01 09:23:18.589294,18.25
173,2018-11-01 09:23:18.895432,18.26
174,2018-11-01 09:23:19.199729,18.27
175,2018-11-01 09:23:19.504071,18.25
176,2018-11-01 09:23:19.810921,18.3
177,2018-11-01 09:23:20.149261,18.28
178,2018-11-01 09:23:20.419525,18.27
179,2018-11-01 09:23:20.736135,18.28
180,2018-11-01 09:23:21.027926,18.28
181,2018-11-01 09:23:21.334800,18.26
182,2018-11-01 09:23:21.638854,18.31
183,2018-11-01 09:23:21.944179,18.25
184,2018-11-01 09:23:22.246571,18.26
185,2018-11-01 09:23:22.552944,18.32
186,2018-11-01 09:23:22.858922,18.26
187,2018-11-01 09:23:23.164575,18.33
188,2018-11-01 09:23:23.468237,18.3
189,2018-11-01 09:23:23.775534,18.35
190,2018-11-01 09:23:24.091612,18.39
191,2018-11-01 09:23:24.384578,18.37
192,2018-11-01 09:23:24.685155,18.34
193,2018-11-01 09:23:24.993611,18.3
194,2018-11-01 09:23:25.293959,18.28
195,2018-11-01 09:23:25.604483,18.34
196,2018-11-01 09:23:25.930238,18.31
197,2018-11-01 09:23:26.207630,18.32
198,2018-11-01 09:23:26.517251,18.32
199,2018-11-01 09:23:26.817604,18.31
200,2018-11-01 09:23:27.154714,18.32
201,2018-11-01 09:23:27.426650,18.28
202,2018-11-01 09:23:27.734805,18.3
203,2018-11-01 09:23:28.066172,18.39
204,2018-11-01 09:23:28.344530,18.34
205,2018-11-01 09:23:28.652032,18.33
206,2018-11-01 09:23:28.966527,18.27
207,2018-11-01 09:23:29.289063,18.4
208,2018-11-01 09:23:29.575037,18.32
209,2018-11-01 09:23:29.882336,18.38
210,2018-11-01 09:23:30.187947,18.38
211,2018-11-01 09:23:30.476569,18.27
212,2018-11-01 09:23:30.782204,18.33
213,2018-11-01 09:23:31.091713,18.35
214,2018-11-01 09:23:31.438406,18.38
215,2018-11-01 09:23:31.699306,18.33
216,2018-11-01 09:23:32.010932,18.39
217,2018-11-01 09:23:32.309772,18.39
218,2018-11-01 09:23:32.610942,18.37
219,2018-11-01 09:23:32.971050,18.38
220,2018-11-01 09:23:33.225220,18.33
221,2018-11-01 09:23:33.524723,18.43
222,2018-11-01 09:23:33.831784,18.39
223,2018-11-01 09:23:34.136408,18.42
224,2018-11-01 09:23:34.439042,18.37
225,2018-11-01 09:23:34.747290,18.39
226,2018-11-01 09:23:35.047933,18.37
227,2018-11-01 09:23:35.390099,18.42
228,2018-11-01 09:23:35.662188,18.39
229,2018-11-01 09:23:35.965408,18.37
230,2018-11-01 09:23:36.275599,18.48
231,2018-11-01 09:23:36.572878,18.39
232,2018-11-01 09:23:36.877788,18.44
233,2018-11-01 09:23:37.181898,18.43
234,2018-11-01 09:23:37.489830,18.39
235,2018-11-01 09:23:37.791006,18.39
236,2018-11-01 09:23:38.098402,18.4
237,2018-11-01 09:23:38.400320,18.33
238,2018-11-01 09:23:38.706463,18.42
239,2018-11-01 09:23:39.009732,18.45
240,2018-11-01 09:23:39.315126,18.39
241,2018-11-01 09:23:39.620324,18.41
242,2018-11-01 09:23:39.925036,18.41
243,2018-11-01 09:23:40.236161,18.45
244,2018-11-01 09:23:40.535043,18.47
245,2018-11-01 09:23:40.839644,18.43
246,2018-11-01 09:23:41.165459,18.39
247,2018-11-01 09:23:41.452095,18.46
248,2018-11-01 09:23:41.754438,18.43
249,2018-11-01 09:23:42.058034,18.45
250,2018-11-01 09:23:42.363731,18.45
251,2018-11-01 09:23:42.667384,18.46
252,2018-11-01 09:23:42.974633,18.47
253,2018-11-01 09:23:43.277271,18.41
254,2018-11-01 09:23:43.582987,18.47
255,2018-11-01 09:23:43.895626,18.47
256,2018-11-01 09:23:44.196635,18.41
257,2018-11-01 09:23:44.500248,18.46
258,2018-11-01 09:23:44.801338,18.48
259,2018-11-01 09:23:45.105234,18.47
260,2018-11-01 09:23:45.411502,18.39
261,2018-11-01 09:23:45.716906,18.43
262,2018-11-01 09:23:46.023692,18.51
263,2018-11-01 09:23:46.325635,18.46
264,2018-11-01 09:23:46.640214,18.54
265,2018-11-01 09:23:46.935604,18.48
266,2018-11-01 09:23:47.241439,18.57
267,2018-11-01 09:23:47.544087,18.47
268,2018-11-01 09:23:47.849599,18.46
269,2018-11-01 09:23:48.161443,18.45
270,2018-11-01 09:23:48.460392,18.54
271,2018-11-01 09:23:48.765947,18.48
272,2018-11-01 09:23:49.067509,18.5
273,2018-11-01 09:23:49.373825,18.51
274,2018-11-01 09:23:49.679278,18.49
275,2018-11-01 09:23:49.986485,18.49
276,2018-11-01 09:23:50.287141,18.46
277,2018-11-01 09:23:50.593783,18.47
278,2018-11-01 09:23:50.896771,18.53
279,2018-11-01 09:23:51.202404,18.44
280,2018-11-01 09:23:51.510231,18.49
281,2018-11-01 09:23:51.811730,18.45
282,2018-11-01 09:23:52.117443,18.51
283,2018-11-01 09:23:52.422704,18.47
284,2018-11-01 09:23:52.731315,18.51
