,wavelength,R_LL,R_RR,R_pp,R_sp
0,3e-07,0.001943425316352116,0.00024579054208809226,0.0007417752430397941,0.0003177322857771528
1,3.012531328320802e-07,0.004358503175419322,0.00020921768462877087,0.0013775980243289914,0.0008247782672570451
2,3.0250626566416036e-07,0.005435505346698044,0.00010259705969232019,0.0015319032391358338,0.001136709254777157
3,3.037593984962406e-07,0.004320436231625274,1.354270939805327e-05,0.0010868335106928833,0.0010030827802107961
4,3.050125313283208e-07,0.0019173097311139184,1.205320616413852e-05,0.00040188541745672554,0.0005323369651384037
5,3.06265664160401e-07,0.00015591561160283529,9.66096190916192e-05,2.4597176873515622e-05,0.00010368792652487936
6,3.075187969924812e-07,0.0004694880140678843,0.00019938274496427458,0.00026266339917249877,6.602898624566688e-05
7,3.087719298245614e-07,0.0026716981697095456,0.00024156952782322742,0.0009460238258179644,0.00046229365168090126
8,3.100250626566416e-07,0.0051344197964241335,0.000192984970494453,0.001567569781987205,0.0010022965389857718
9,3.112781954887218e-07,0.006058854542777767,9.156311341641465e-05,0.0016750160651534379,0.0012912184049932666
10,3.12531328320802e-07,0.004788454109064497,1.2024064553784776e-05,0.0011964914361801316,0.0011206093606370403
11,3.1378446115288217e-07,0.002246721739140127,1.0367012243775083e-05,0.00047897956159206743,0.0006143334809561022
12,3.150375939849624e-07,0.0002721502780934444,8.539841178993104e-05,3.927708913929212e-05,0.00013963948801311158
13,3.162907268170426e-07,0.00031578846935574877,0.00018274014909356565,0.00020111912219555967,4.5415291288194186e-05
14,3.175438596491228e-07,0.0024115760366726544,0.00023502341478088596,0.0008678231306473301,0.00041292004821337605
15,3.18796992481203e-07,0.005175461916779174,0.00020801360645719645,0.0015961278352049377,0.001002993738797751
16,3.2005012531328317e-07,0.006791064069467833,0.00012148944635696785,0.001908187785111084,0.0014282154211937967
17,3.213032581453634e-07,0.006218008781921153,3.33387843589289e-05,0.0016062621485116457,0.0014125337251894715
18,3.225563909774436e-07,0.0038345275600931155,1.532425077766044e-07,0.0008886675895770034,0.0009663507240290589
19,3.238095238095238e-07,0.0011838915943657388,4.1310793679147655e-05,0.00021852941109022156,0.00037897661143556515
20,3.25062656641604e-07,7.162301518992666e-07,0.00012885676502919397,3.322687425783704e-05,3.56311524206454e-05
21,3.2631578947368417e-07,0.00110359504031756,0.0002073668167228111,0.0004676973934848839,0.00016997975559502888
22,3.275689223057644e-07,0.003877067028201503,0.00022917520521661234,0.0012699151318303064,0.0007152781373081858
23,3.288220551378446e-07,0.006685234112829627,0.00018250969619773065,0.0019652373670247924,0.0013522038917916268
24,3.300751879699248e-07,0.007890997484388764,9.649028447739853e-05,0.0021497430738388677,0.001709008132089458
25,3.31328320802005e-07,0.00680550722846137,2.19756289194211e-05,0.00172130901094348,0.0015792823394220287
26,3.325814536340852e-07,0.0040570827314108686,1.196231378696464e-06,0.0009282373193970356,0.0010372250824865023
27,3.338345864661654e-07,0.0012352722540095041,4.429426814717207e-05,0.00022779600042882494,0.000396786871466426
28,3.350877192982456e-07,1.0296779600618418e-06,0.00012537841088166245,3.1700799638251446e-05,3.5430688635429826e-05
29,3.363408521303258e-07,0.001135221789317368,0.0001987173471392531,0.00047204772307890406,0.00017676160647612976
30,3.37593984962406e-07,0.0040907169477649,0.00022461381415977708,0.0013254940365112682,0.0007619790907676885
31,3.388471177944862e-07,0.0073221131996117645,0.0001902939380414145,0.002143728854348139,0.001487835419243547
32,3.401002506265664e-07,0.009152404450873387,0.00011519842640290987,0.002502932271312654,0.0019776976138203995
33,3.413533834586466e-07,0.008646573424844515,3.917946325136517e-05,0.0022222649320358247,0.001979289555874762
34,3.426065162907268e-07,0.006063902837613404,1.002212516409493e-06,0.0014468701139044905,0.001490274034457083
35,3.43859649122807e-07,0.002726007945675371,1.8794908270827062e-05,0.0005730336924243103,0.0007606192400489442
36,3.451127819548872e-07,0.00037138121441517426,8.208608038554955e-05,5.472685484733409e-05,0.00017100612162125462
37,3.463659147869674e-07,0.00027831187624083634,0.00015846382187892014,0.0001762122522831068,3.985267954446173e-05
38,3.476190476190476e-07,0.0025998461717854373,0.00021045583539509188,0.000904238954072082,0.00045749850120319107
39,3.488721804511278e-07,0.006289034145786368,0.00021371026116701053,0.0019050649245550635,0.0012410429982302664
40,3.50125313283208e-07,0.009643260994725535,0.00016778282488137005,0.002715644578505109,0.002030770993434687
41,3.513784461152882e-07,0.011131469641449924,9.50978095835734e-05,0.002967291144385254,0.002465631919095768
42,3.526315789473684e-07,0.01008086733220907,2.948232961743639e-05,0.0025486463327782853,0.002346980904530819
43,3.538847117794486e-07,0.006958862513177436,2.6781960018197963e-07,0.0016482354424053093,0.0017252356517307086
44,3.5513784461152883e-07,0.0031781257384085964,1.941462629473884e-05,0.0006731238231969695,0.0008813996516214505
45,3.56390977443609e-07,0.000495672644016182,7.713083673238142e-05,7.572386082743679e-05,0.000208034782265885
46,3.576441102756892e-07,0.00022586470839701953,0.00014725277426351296,0.00015234795112659052,3.275650610653039e-05
47,3.588972431077694e-07,0.002623450518282227,0.00019931311485683374,0.0009037015695050627,0.00046470666805478554
48,3.601503759398496e-07,0.0067619007994656755,0.00021164868452895654,0.0020322713221179924,0.0013438862993162704
49,3.614035087719298e-07,0.010965279385775444,0.00017998372905506094,0.0030789474062379177,0.0023169658327733354
50,3.6265664160401e-07,0.013541646577894093,0.00011830247097587877,0.003622922411320958,0.0029924302248879463
51,3.639097744360902e-07,0.013462619399529337,5.224569373783296e-05,0.003449157560217545,0.0030989763105820187
52,3.651629072681704e-07,0.010746557043724635,8.243493156790314e-06,0.002625304859420673,0.002589287473962532
53,3.6641604010025064e-07,0.006457676390946154,3.011795714074941e-06,0.001475504936639292,0.0016613396141445407
54,3.6766917293233083e-07,0.0023300049251260358,3.750588616112879e-05,0.0004639735856151635,0.0006903984934769508
55,3.68922305764411e-07,0.00011070988612239685,9.734425320852764e-05,1.9776107029270143e-05,8.681232450100347e-05
56,3.701754385964912e-07,0.0008458057498771279,0.00015905566696399685,0.0003617781185816735,0.00012807342976314706
57,3.714285714285714e-07,0.004426188690068332,0.0001993509898943914,0.0014017807432462471,0.0008397587602569217
58,3.726817042606516e-07,0.00962706415551255,0.00020374123961270225,0.002778006100437983,0.001984569680719698
59,3.7393483709273183e-07,0.014610469525928397,0.00017139323644386272,0.004002055234253558,0.0031605821505966717
60,3.75187969924812e-07,0.0176263761607311,0.0001147515840860469,0.004644560520207377,0.003954896978965327
61,3.764411027568922e-07,0.017617833472896475,5.44504315269216e-05,0.004482243359756832,0.004087534077465255
62,3.776942355889724e-07,0.014560104699317938,1.1652339070515276e-05,0.003566637398489877,0.003503792999213258
63,3.7894736842105264e-07,0.009483693905778707,6.690197283481023e-07,0.0022089337448094296,0.0023975548978293977
64,3.802005012531328e-07,0.00418077105099505,2.438541095864641e-05,0.0008883755059458607,0.0011589216800494912
65,3.81453634085213e-07,0.000634116175385262,7.384221837939314e-05,9.947323791685295e-05,0.00025035256130060215
66,3.827067669172932e-07,0.000309828311841734,0.00013181388450838837,0.0001759087907814372,4.162395320302419e-05
67,3.839598997493734e-07,0.003582333191447025,0.00017890081201836608,0.0011579002040461724,0.0006662297758162814
68,3.852130325814536e-07,0.00956775185285836,0.00019995655548266024,0.0027686875186278327,0.0019665203125548564
69,3.864661654135338e-07,0.01644984080556121,0.00018875151433225858,0.004515109050613792,0.0035527816450276264
70,3.87719298245614e-07,0.022122973495903593,0.0001495182410431712,0.005861454811247038,0.004941606196099647
71,3.889724310776942e-07,0.02486287893041452,9.511944642252314e-05,0.006399626589664357,0.005710195410845638
72,3.9022556390977444e-07,0.02381544413831481,4.264959951292602e-05,0.005962923090945862,0.005617859689316016
73,3.9147869674185463e-07,0.01923138089305629,8.001417902159989e-06,0.004669131368750086,0.004674598677085594
74,3.927318295739348e-07,0.012441478768985917,1.1182955271845343e-06,0.002897156886538764,0.0031506827463691736
75,3.93984962406015e-07,0.005560833891745911,2.330836949187044e-05,0.0011994108612653793,0.0015199443322704178
76,3.952380952380952e-07,0.0009194760922169933,6.727071335717533e-05,0.00015273045964723023,0.0003329181004309518
77,3.964912280701754e-07,0.0003185932443190603,0.00011963292035401607,0.00017409825846968925,4.142001875572148e-05
78,3.9774436090225563e-07,0.004370378668456627,0.00016508704021413496,0.001365270357151267,0.0008351383148453857
79,3.989974937343358e-07,0.012234030256482543,0.0001908299484235476,0.003462023132609601,0.002565710864376133
80,4.00250626566416e-07,0.02188834913901607,0.00019003659567470128,0.005918682718177051,0.00479550999703936
81,4.0150375939849625e-07,0.030790737807693126,0.0001634694091348239,0.008085081735327116,0.006940968874623118
82,4.0275689223057644e-07,0.036612659763923555,0.00011891327615395638,0.009394508249997114,0.008441389154384226
83,4.0401002506265663e-07,0.037812067978886116,6.874138176089498e-05,0.009501858857599778,0.008897800449764804
84,4.052631578947368e-07,0.03397244433885381,2.6394209388584144e-05,0.008356520240480647,0.008163406127037441
85,4.06516290726817e-07,0.025936227609536015,2.7799956124252303e-06,0.006220775123061272,0.006388688723390651
86,4.077694235588972e-07,0.015738748438662336,3.5455036275171233e-06,0.0036393586593145956,0.004018929474208916
87,4.0902255639097744e-07,0.006275126875881891,2.7864214948877663e-05,0.0013466069606054554,0.0017251429307238552
88,4.1027568922305763e-07,0.000626087289479614,6.894690476195188e-05,9.481728360865625e-05,0.0002487906320288827
89,4.115288220551378e-07,0.0011212197310927973,0.00011602574970415306,0.00042426826254357894,0.0001776391185204624
90,4.12781954887218e-07,0.0084745875754364,0.00015721485760014233,0.0024579125370703036,0.0017320338639791187
91,4.1403508771929825e-07,0.02143886011120219,0.00018248234560149315,0.005829722961795395,0.00466915060549446
92,4.1528822055137844e-07,0.03718345017242012,0.00018600249508567582,0.00979392470129711,0.008357861445769317
93,4.165413533834586e-07,0.052170365708010154,0.00016736287682034894,0.013454239281765874,0.01197524917848505
94,4.177944862155388e-07,0.06307915424341812,0.00013141582769060655,0.01599828068245747,0.014721632724683447
95,4.19047619047619e-07,0.06747184931242621,8.690107707386651e-05,0.016859480618150253,0.01598143328497044
96,4.203007518796992e-07,0.06417134156867316,4.4243765158189626e-05,0.01580141188271069,0.015422087127130389
97,4.2155388471177943e-07,0.05349066563579849,1.309063987845825e-05,0.01296134018263917,0.013061165448116316
98,4.228070175438596e-07,0.03741804381622399,1.6270035815964707e-07,0.00888197544057565,0.009323979532825015
99,4.2406015037593987e-07,0.01968347456384981,7.885456682518755e-06,0.004515728257681778,0.005071556062278387
100,4.2531328320802005e-07,0.005411866584737999,3.4047287705734705e-05,0.0011307444298629859,0.0015263655490849232
101,4.2656641604010024e-07,1.1683196679918826e-05,7.248932492764005e-05,3.3941602893519544e-05,9.658345833816088e-06
102,4.2781954887218043e-07,0.007335648291543386,0.00011460737189905835,0.00212175149373006,0.0014969629448231595
103,4.290726817042606e-07,0.027923564550635636,0.000151293458118833,0.007458823612466625,0.0061849691986766014
104,4.303258145363408e-07,0.05850621471004749,0.0001748817435337728,0.01517284649903728,0.01335507458413263
105,4.31578947368421e-07,0.09316912209247476,0.0001806908206328093,0.023758288324185875,0.021635303215368724
106,4.3283208020050124e-07,0.12531043032934921,0.00016786351865556812,0.03157038338239444,0.029458650824813564
107,4.3408521303258143e-07,0.14917697801663599,0.00013937357047308637,0.037207665591315275,0.035428031010435006
108,4.353383458646616e-07,0.16048026625068104,0.00010125334442663302,0.0396611783640777,0.03846688182181606
109,4.3659147869674186e-07,0.1564076339732744,6.125232845498858e-05,0.038309749677391175,0.03782914268341215
110,4.3784461152882205e-07,0.13569345936974808,2.7232826799945714e-05,0.03292609041729147,0.033127317352505875
111,4.3909774436090224e-07,0.09948357489863867,5.636908533313812e-06,0.023873912644058796,0.02455548267790587
112,4.4035087719298243e-07,0.0536953645585262,3.1908664116015394e-07,0.012666812134272908,0.013478871146199401
113,4.416040100250626e-07,0.012798232738099677,1.1942258184710275e-05,0.002867959756672899,0.0033750607233947703
114,4.428571428571428e-07,0.0015618112407036415,3.7996955986184556e-05,0.0004892339335497015,0.00028822437797106147
115,4.44110275689223e-07,0.04615762683831144,7.336743233254858e-05,0.01180885506889667,0.010683108117612744
116,4.4536340852130324e-07,0.15269324004637808,0.00011131614880167548,0.03817662267826524,0.03618996084926615
117,4.4661654135338343e-07,0.2966606817746436,0.00014477823097902156,0.07351772508946111,0.07095782468178799
118,4.4786967418546367e-07,0.44224719869599716,0.0001677375441585093,0.10906751457948877,0.10631526861714724
119,4.4912280701754386e-07,0.5662824433503154,0.00017630813862290758,0.13917101838491105,0.13663109946725943
120,4.5037593984962405e-07,0.662419770969597,0.00016929976543198625,0.16226978856100902,0.16036815342979832
121,4.5162907268170424e-07,0.7336108035063568,0.0001482661268022251,0.17906900191971198,0.17825515085127416
122,4.528822055137844e-07,0.7854271397710055,0.00011710007003428648,0.1909244242234905,0.1916485480229177
123,4.541353383458646e-07,0.8230442218253683,8.126918860356656e-05,0.19911809452473633,0.2017875765474185
124,4.553884711779448e-07,0.8504486597772227,4.683204755532194e-05,0.20466803142076484,0.20959763183982735
125,4.5664160401002505e-07,0.8704936731433888,1.9407687052542624e-05,0.2083381229715776,0.21570653366616832
126,4.5789473684210523e-07,0.8851602178459926,3.270762653300824e-06,0.2106938734444794,0.22051527513394578
127,4.591478696741855e-07,0.8958064657378596,7.133373728021202e-07,0.2121530997746931,0.2242683738369671
128,4.6040100250626567e-07,0.9033563108136314,1.1761072792516745e-05,0.21302135034473227,0.22711004291264164
129,4.6165413533834585e-07,0.9084298227305369,3.426779160888201e-05,0.2135142814228931,0.2291253574340313
130,4.6290726817042604e-07,0.9114295676034732,6.434975710030265e-05,0.21377157668633512,0.23036857504742406
131,4.6416040100250623e-07,0.912595569563475,9.706972808364783e-05,0.21386630996619022,0.23088087650290665
132,4.654135338345864e-07,0.9120380830378507,0.00012724815952435165,0.21381232163378575,0.23069935344784068
133,4.666666666666666e-07,0.9097539927269221,0.00015026826716907314,0.21357091619084803,0.2298586974876164
134,4.6791979949874685e-07,0.9056300311805837,0.00016275256103841918,0.21305716188041043,0.22838679865774322
135,4.6917293233082704e-07,0.8994339730472399,0.0001630170394640086,0.21214529353624356,0.22629526729424054
136,4.7042606516290723e-07,0.8907933164162006,0.00015124942092518227,0.21067216068359457,0.22356567043016018
137,4.7167919799498747e-07,0.8791595807042879,0.00012940246777898266,0.2084373025385648,0.22013198463767022
138,4.7293233082706766e-07,0.8637553767027628,0.00010083569229045442,0.20519809184604923,0.215859454542415
139,4.7418546365914785e-07,0.8435015494639901,6.977271683734978e-05,0.2006586132116327,0.21051991163247893
140,4.7543859649122804e-07,0.816924976397851,4.0663224628065755e-05,0.1944519664935417,0.20376419577112584
141,4.7669172932330823e-07,0.7820588859893074,1.754579945661736e-05,0.1861186046277775,0.1950949106381004
142,4.779448621553884e-07,0.7363772272758545,3.5011394199691257e-06,0.17509049274167507,0.18385003086284227
143,4.791979949874686e-07,0.6768710304210052,2.661522900360915e-07,0.16070650877838508,0.16922461920821352
144,4.804511278195488e-07,0.600497339348492,8.051766146554096e-06,0.14231300367319563,0.1503891942640911
145,4.81704260651629e-07,0.5053828071280211,2.5575370602590813e-05,0.1195382665195723,0.12680229136124677
146,4.829573934837093e-07,0.39312459822389245,5.0287929953140855e-05,0.09281965791586905,0.09880541133292296
147,4.842105263157895e-07,0.27172123961112155,7.875236878209523e-05,0.06407347221494553,0.06838216918337876
148,4.854636591478697e-07,0.1566865567319194,0.00010711963265132898,0.03693989462976901,0.039455966781387644
149,4.867167919799498e-07,0.06673116370777862,0.00013164838640928112,0.01577027617929395,0.016796299783352748
150,4.8796992481203e-07,0.014504078864080828,0.00014920538913737902,0.0034813332450982465,0.003650188036962609
151,4.892230576441102e-07,3.8787043168826274e-05,0.00015766473554794302,5.060019252701168e-05,5.227475996759895e-05
152,4.904761904761904e-07,0.012983154484493253,0.00015613681985607073,0.0030494556189943857,0.0033806658477679528
153,4.917293233082707e-07,0.03993413163497537,0.00014501221702193113,0.009349058976709628,0.010228047099174381
154,4.929824561403509e-07,0.06996184192301344,0.00012584673069666546,0.016398243089160422,0.017817017943147183
