,wavelength,test1_R_LL,test1_R_RR,test1_R_pp,test1_R_sp,test2_R_LL,test2_R_RR,test2_R_pp,test2_R_sp,test3_R_LL,test3_R_RR,test3_R_pp,test3_R_sp,test4_R_LL,test4_R_RR,test4_R_pp,test4_R_sp,test5_R_LL,test5_R_RR,test5_R_pp,test5_R_sp
0,3e-07,0.002228023041829617,0.00012872783024544819,0.0008577500081519587,0.0003219741015012045,0.0029177667518359373,0.00016571767357127746,0.0011191346229582526,0.0004239149690973999,0.0036281119307748073,0.0002033289810248693,0.0013876384099171376,0.0005293065281371508,0.005576309460924902,0.00030374914113730645,0.002120146443927048,0.0008206541011207766,0.006751756069271208,0.00035500434031477876,0.0025488617930346257,0.0010042994935292482
1,3.0200803212851406e-07,0.0009627401876254868,5.7410411277828215e-05,0.0003732193652965452,0.00013773860006499147,0.0012877963904536418,7.52058535447406e-05,0.0004969166117568269,0.00018547732647723294,0.0016397426426038458,9.423299684877906e-05,0.0006305061890037256,0.00023736648403605327,0.0027574026549828444,0.0001533732612567426,0.0010529209942665909,0.00040322408858256694,0.004228959042960067,0.0002274789608590531,0.0016037558987657772,0.0006247564571626429
2,3.040160642570281e-07,0.00030475675411911914,1.949608342549046e-05,0.00011998440704533764,4.2606116688047264e-05,0.00041520203992849696,2.5842266541150653e-05,0.0001624221337025062,5.858105492723265e-05,0.0005390461879825842,3.28579250253619e-05,0.00020986775719279187,7.657694765810983e-05,0.0009711199972045218,5.680867746622061e-05,0.00037466235925951455,0.0001397962242491853,0.0017558124118933441,9.888260251947118e-05,0.0006719528818533991,0.0002557854098478968
3,3.0602409638554215e-07,5.4670871387624895e-05,4.14065813113049e-06,2.2377329094203118e-05,7.196653990285667e-06,7.592512876243866e-05,5.517737097925174e-06,3.074792144657448e-05,1.0149373003920849e-05,0.00010036977998127168,7.071337612596742e-06,4.0334119245362815e-05,1.3569134572606849e-05,0.00019111380575514967,1.2682323941611118e-05,7.570855804255382e-05,2.638741775905778e-05,0.0003872870928874181,2.4401260156272632e-05,0.00015162541044112446,5.4422776002579545e-05
4,3.080321285140562e-07,2.199927528310087e-06,2.99727678298588e-07,1.0527068263573385e-06,2.198145348904794e-07,3.1784773383712197e-06,3.9667787395193686e-07,1.4775078225143104e-06,3.336154821361401e-07,4.333570937890324e-06,5.068297434339464e-07,1.97382018824993e-06,4.7075385994749733e-07,8.838088977368388e-06,9.146161351529718e-07,3.883257449733165e-06,1.0197961144402556e-06,1.964827697096117e-05,1.837690020766655e-06,8.39920772347761e-06,2.3737609618493383e-06
5,3.1004016064257025e-07,8.319009618895362e-09,7.441753054267012e-12,7.408973771358487e-09,1.957495110126778e-09,8.599622542008208e-09,6.8027378649168215e-12,7.471448626823663e-09,2.030952479636049e-09,8.884887144168103e-09,6.192401525002325e-12,7.534909566250226e-09,2.1057622481962457e-09,9.768589119417939e-09,4.533469538896698e-12,7.731208464567935e-09,2.3383054481361604e-09,1.1334441082017337e-08,2.34219386291112e-12,8.078090922068678e-09,2.7529206275878323e-09
6,3.120481927710843e-07,1.0923909977405214e-05,1.5212074694832826e-07,3.4654350428002705e-06,2.1259584114264985e-06,1.4196322978008051e-05,2.1297142368691088e-07,4.519015014672415e-06,2.7349433828037948e-06,1.788328506261658e-05,2.838265216235917e-07,5.7108612087126754e-06,3.4179211211566056e-06,3.1365211454309515e-05,5.551295419207457e-07,1.009454669967687e-05,5.898559372167074e-06,6.140653042368555e-05,1.192901434925876e-06,1.9932029453759423e-05,1.1380431259715062e-05
7,3.140562248995984e-07,0.00011983608127870075,2.70548179194437e-06,3.9700628229142315e-05,2.1653743379830553e-05,0.00015791708526181411,3.709990934787621e-06,5.253907262932922e-05,2.833307786165458e-05,0.00020065474920480148,4.858767941530959e-06,6.69873235081332e-05,3.580344930830195e-05,0.0003538411513085695,9.09064160098351e-06,0.00011898735800940134,6.244263782759404e-05,0.0006708077188870125,1.8161367479243213e-05,0.00022716796807173583,0.00011718590818281652
8,3.160642570281124e-07,0.0005106520761943926,1.3375937947541378e-05,0.00017224348174588937,8.978419400619684e-05,0.0006716509615395202,1.8095947863512833e-05,0.00022736831509567455,0.00011744804948530366,0.0008491364465297911,2.3378173227865692e-05,0.00028828032579071913,0.00014785331043829511,0.0014536298170670298,4.179720604384428e-05,0.0004965112829984575,0.0002509131294800545,0.0025202610959225652,7.551490876614775e-05,0.0008661287584127918,0.0004313502998763316
9,3.180722891566265e-07,0.001416027491047178,3.9471336953815715e-05,0.00048157095624315547,0.00024596291927062535,0.0018458955635304816,5.263560543061277e-05,0.0006297424605560155,0.00031917213841709213,0.0023060827150774153,6.693442320554844e-05,0.0007887325235545136,0.0003973080031934941,0.003749229577238093,0.00011292119164427629,0.0012893695458308738,0.0006410236450138143,0.005655193816419784,0.0001769841324428292,0.0019565130144775992,0.0009590605813172302
