,wavelength,R_LL,R_RR,R_pp,R_sp
0,3e-07,0.003615437035651042,4.5535850403793643e-07,0.0008531400420552788,0.0008914095533882268
1,3.012531328320802e-07,0.002251477620852223,1.2526506887032556e-05,0.000479963850244528,0.0006156346371226347
2,3.0250626566416036e-07,0.0009755616113298397,5.552509667510985e-05,0.00017667165773783643,0.00032685649282790293
3,3.037593984962406e-07,0.0001601469803883582,0.00011651324230923282,3.126567377716756e-05,0.00010980050624838451
4,3.050125313283208e-07,4.848637122712932e-05,0.00017823520533563793,8.790551991720474e-05,2.9036618044385958e-05
5,3.06265664160401e-07,0.0006890090225742952,0.00022402302394352938,0.0003354517921408079,0.0001111948897748852
6,3.075187969924812e-07,0.0019263367201662912,0.00024217091783039398,0.0007116794786394952,0.00033843242927704853
7,3.087719298245614e-07,0.0034489736161755114,0.0002286818752129126,0.001121387975232472,0.0006544630464228691
8,3.100250626566416e-07,0.004876233492599019,0.0001878283517809417,0.0014624093680245165,0.0009805381730338036
9,3.112781954887218e-07,0.0058574583795694005,0.00013058219164442894,0.0016517498881230086,0.001236236091461226
10,3.12531328320802e-07,0.00615725965265572,7.14940774619523e-05,0.0016451562266834982,0.0013594149347540877
11,3.1378446115288217e-07,0.00570827861199119,2.4924491040121806e-05,0.0014461915582574144,0.0013207654352861483
12,3.150375939849624e-07,0.004622894374770787,1.5952855938982445e-06,0.0011039288473543376,0.0011301777840283613
13,3.162907268170426e-07,0.0031641968079516507,6.258358826973107e-06,0.0007007070360617283,0.0008339889603337277
14,3.175438596491228e-07,0.0016837887971352483,3.693462627620466e-05,0.0003329614316135412,0.0005039311796779148
15,3.18796992481203e-07,0.0005400755160483593,8.576392400699711e-05,8.921414261620337e-05,0.0002202638091165184
16,3.2005012531328317e-07,1.528682424940247e-05,0.000141130531521673,2.996005099758222e-05,5.2958746393340516e-05
17,3.213032581453634e-07,0.00025079777534582474,0.00019047337690661494,0.00017406127560390245,4.546092925227158e-05
18,3.225563909774436e-07,0.0012164706483078036,0.00022309811628648264,0.0004949380112216605,0.0002049966033908584
19,3.238095238095238e-07,0.0027207831160623265,0.00023237879297530596,0.0009273618901732428,0.0005016173632861986
20,3.25062656641604e-07,0.004457300020865121,0.00021693157852643535,0.0013827889550184344,0.0008757349347532143
21,3.2631578947368417e-07,0.006073916546397736,0.0001806030621270712,0.0017690368606303514,0.00125175149052631
22,3.275689223057644e-07,0.007247393096548876,0.00013137754906366485,0.0020094831028248518,0.0015542459124337179
23,3.288220551378446e-07,0.007747283605427722,7.951836166984696e-05,0.0020578071104411294,0.0017231793620521697
24,3.300751879699248e-07,0.007478289973974773,3.538183848941078e-05,0.0019059453108380285,0.0017253641889542573
25,3.31328320802005e-07,0.006495685116935831,7.365820238772144e-06,0.0015845924625641414,0.001560487190613921
26,3.325814536340852e-07,0.004993145907938992,3.840825004505807e-07,0.001156822131100994,0.001260968758547498
27,3.338345864661654e-07,0.0032659886050127145,1.511870023329607e-05,0.0007062071010986361,0.0008858245014785607
28,3.350877192982456e-07,0.001656016006421634,4.812864974957651e-05,0.00032141873743240124,0.000509566056929324
29,3.363408521303258e-07,0.00048730336737831074,9.272273410157366e-05,7.982784073322695e-05,0.0002080597284317039
30,3.37593984962406e-07,4.703332191807356e-06,0.0001403706453719265,3.302314112809039e-05,4.3994700986472643e-05
31,3.388471177944862e-07,0.0003273497022630705,0.00018234892137514858,0.00019710174804714702,5.488981412274064e-05
32,3.401002506265664e-07,0.0014268776836323421,0.00021130594537111685,0.0005497948719691169,0.0002461281570597286
33,3.413533834586466e-07,0.0031345557291891637,0.0002224758868971554,0.0010350079521975206,0.000590357280187854
34,3.426065162907268e-07,0.005174678836922082,0.0002143596448388771,0.0015736110502991615,0.001033074924724446
35,3.43859649122807e-07,0.0072158215292865285,0.00018880040109418552,0.0020779409188616785,0.001502864399671333
36,3.451127819548872e-07,0.008928740947029527,0.00015049088520718645,0.0024669324689389083,0.0019239744861248604
