,wavelength,big_blue_R_LL,big_blue_R_RR,big_blue_R_pp,big_blue_R_sp,med_blue_R_LL,med_blue_R_RR,med_blue_R_pp,med_blue_R_sp
0,3e-07,0.002923477616019911,4.7783590112994765e-05,0.0008605677596533077,0.000617036023166612,0.002324374605454096,0.00012678215871611873,0.0010318866733791626,0.0003418583672913342
1,3.0335570469798656e-07,0.00035213950283411024,0.00014059194594993635,0.0001867548364538564,5.587064273945168e-05,0.00293241101819285,0.00016510848509606024,0.0013098321081364947,0.00042708050394320133
2,3.0671140939597313e-07,0.002400549852138545,3.6446443695598046e-06,0.0006613028328684446,0.0005656527545593933,0.0014831850229375843,8.749251541695646e-05,0.0006690433270150363,0.00021286061559132655
3,3.100671140939597e-07,0.0013652338923963918,0.00015701437955139509,0.0004934926665021005,0.00023723116826199664,5.791500777981982e-05,5.9526211205035034e-06,3.0152211747737724e-05,6.699216568287077e-06
4,3.134228187919463e-07,0.001717417874889421,2.4272209747722106e-06,0.00045448724856932083,0.00044617714931699157,0.0007245532020682689,2.6614167893182114e-05,0.00029473693313421256,0.0001184817713727489
5,3.1677852348993285e-07,0.0022210788696518597,0.00014908471041885258,0.0007297224787792347,0.00041378163724729264,0.0027837036231574117,0.000115767548104771,0.0011592211421646299,0.0004415240324348211
6,3.2013422818791943e-07,0.0014065030065075462,9.683131058560314e-06,0.0003648894147931784,0.0003885745381678935,0.0037639156034638553,0.00015960271956428512,0.001571742460519505,0.0005940006974293033
7,3.23489932885906e-07,0.002670889086103561,0.0001435048676436559,0.0008489693345536242,0.0005119037996645556,0.0025178165815437376,0.00010882166248674331,0.001054403946448152,0.0003953672198658653
8,3.2684563758389263e-07,0.0015867290364445614,9.095794899268648e-06,0.00040884878972065737,0.0004352688264497572,0.0005234499140057482,2.6009648556721753e-05,0.00022562107323189718,7.912009809678693e-05
9,3.302013422818792e-07,0.0026310796377295538,0.00014692684263634072,0.0008372014382475093,0.0005032740029491238,0.00014992419501012478,2.5105116118691437e-06,5.315241817614941e-05,2.842495318486069e-05
10,3.335570469798658e-07,0.002387036942041985,1.9026640758223e-06,0.0006199025462632381,0.000617095593405038,0.0020179930396169846,5.834681735033905e-05,0.0007791473792596226,0.00034781730619664583
11,3.3691275167785235e-07,0.0019499526115221361,0.00015100452418823312,0.000647506864441828,0.0003599640801897912,0.004368116098073347,0.0001311888027053043,0.001695620907876342,0.0007469838533574857
12,3.402684563758389e-07,0.003925915333888181,2.9786634917663867e-06,0.001042140596948035,0.0009474217702693119,0.004937790089900894,0.00014824690066157664,0.0019140730156829325,0.000844437715566526
13,3.436241610738255e-07,0.0007099618659789366,0.00013531073314418103,0.00028486045488243663,0.00011920857858075091,0.0031889051285674958,9.64382184948472e-05,0.0012362498071672922,0.0005445124069795603
14,3.4697986577181207e-07,0.005726067644759848,3.496252297844641e-05,0.0015650921173808664,0.0013001468574395671,0.0007849505255269504,2.6560678952855068e-05,0.00031036726507364167,0.00013080295843236015
15,3.5033557046979864e-07,1.867093220495058e-05,8.181833688902101e-05,3.51420018039512e-05,4.083200336309431e-05,7.053762432013882e-05,3.467915122536154e-07,2.1658674865001967e-05,1.525253307480572e-05
16,3.536912751677852e-07,0.006039126783097894,0.00010069462724517207,0.0017147531638137994,0.0012915942860860536,0.0019694444370133577,3.657773659340456e-05,0.0007015184100258819,0.0003675552744784577
17,3.570469798657718e-07,0.0020609927189346976,1.4265118405522996e-05,0.0005153051290320491,0.0005746950087444972,0.0051734467173687685,0.00010115610008802708,0.0018541470036686628,0.0009576249538151896
18,3.6040268456375836e-07,0.0031481587542230237,0.00014405843861773702,0.0009687948326016781,0.0006136627790583393,0.007264094211059717,0.00014089953744058324,0.002596211861861098,0.0013463350701842106
19,3.6375838926174494e-07,0.006839333041942331,1.2512193028692063e-05,0.001806322518212903,0.0016215891873960218,0.006650167982420382,0.0001266792147742236,0.002366855724555981,0.0012361061264133297
20,3.6711409395973156e-07,1.840728648881646e-05,9.065063659722454e-05,5.0441050720083305e-05,1.824542838940404e-05,0.003764746017788771,7.190031023419146e-05,0.001338600605556174,0.0006994864507285436
21,3.7046979865771814e-07,0.00821976468641377,0.000100949445623816,0.002281881877984945,0.0017910975864681902,0.000789481768878169,1.757628152303308e-05,0.0002871542282592213,0.00014297619251675057
22,3.738255033557047e-07,0.004099248903770427,4.088485724791199e-06,0.0010316028795936951,0.0010692414163939621,0.00015371100370018218,5.485538190254594e-07,4.548031662410342e-05,3.398300669562883e-05
23,3.771812080536913e-07,0.0021185324690719343,0.00013056874238001227,0.0006764855884159126,0.0003956660361929668,0.0028062103240644636,2.93803821533374e-05,0.0009161842080600708,0.0005656469536507201
24,3.8053691275167786e-07,0.011320759363010946,5.2338448842786905e-05,0.0030201469372360327,0.002595684500308993,0.007498248465405693,8.232103607017602e-05,0.0024574662165206063,0.0015032180676621625
25,3.8389261744966443e-07,0.0019381053195749382,2.6192013204016432e-05,0.00047160195207657517,0.0005665111133648888,0.011583910027935388,0.00012465211599894442,0.003780682845979068,0.0023276952456547364
26,3.87248322147651e-07,0.005581314610721638,0.000134365603886819,0.0016089745943274687,0.0011467426781119508,0.012670888757097829,0.00013127642573295174,0.0041100290018525176,0.002557113487120951
27,3.906040268456376e-07,0.013845393191116516,3.07744506717255e-05,0.0036175452483717158,0.0032553894750259596,0.010028972817381809,0.00010021654481746491,0.003234282732891916,0.0020321292286567955
28,3.9395973154362415e-07,0.0012452127679123814,3.756860368145762e-05,0.0002996827964640549,0.0003942283594304607,0.005087734722352369,5.092489801569807e-05,0.0016385603372162834,0.0010307393639007703
