,wavelength,big_blue_R_LL,big_blue_R_RR,big_blue_R_pp,big_blue_R_sp,big_green_R_LL,big_green_R_RR,big_green_R_pp,big_green_R_sp,big_red_R_LL,big_red_R_RR,big_red_R_pp,big_red_R_sp,med_blue_R_LL,med_blue_R_RR,med_blue_R_pp,med_blue_R_sp,med_green_R_LL,med_green_R_RR,med_green_R_pp,med_green_R_sp,med_red_R_LL,med_red_R_RR,med_red_R_pp,med_red_R_sp
0,3e-07,0.0029234776160198383,4.7783590112991885e-05,0.0008605677596533155,0.000617036023166605,0.0015605948883532321,2.225723120566261e-05,0.0004323435314196358,0.0003707520299207802,0.0011934605497614752,1.4906992756267778e-05,0.00032948466902630837,0.00029076093452614515,0.002324374605454045,0.00012678215871610794,0.001031886673379156,0.0003418583672913338,0.0003846919494257108,0.00019768062188334424,0.0002895952508515208,9.007740612106152e-05,7.04480854715424e-05,0.00017527734611825428,0.0001024400790594341,7.287658115098714e-05
1,3.0335570469798656e-07,0.00035213950283408536,0.00014059194594995308,0.00018675483645386724,5.5870642739454865e-05,3.3346585611298556e-06,0.00018133524470577897,7.628599692106944e-05,4.448836966179717e-05,1.0045695984925375e-05,0.00019416350389247393,8.506068320058172e-05,5.60694508081588e-05,0.0029324110181930237,0.0001651084850961038,0.0013098321081366096,0.0004270805039432022,0.001400615257189948,0.00010971754016632953,0.0005771119785893974,0.0002968751828087221,0.000789731624817853,5.086102060020698e-05,0.0002696458851249845,0.00022318662862101337
2,3.0671140939597313e-07,0.0024005498521387524,3.6446443695642863e-06,0.0006613028328685054,0.0005656527545593892,0.0016013847771495005,1.5346378465247134e-06,0.0004600264637813399,0.00039245643219815277,0.001353731035890763,5.337924408331722e-06,0.0004160450329627772,0.00032192271570067596,0.0014831850229376383,8.749251541697257e-05,0.0006690433270150862,0.00021286061559132235,0.0016410215053749176,8.214437728994422e-06,0.0004971129968736142,0.00038784541099548016,0.0013500818457363186,2.9202122150192594e-06,0.0003820460937674684,0.00032670191097340586
3,3.100671140939597e-07,0.0013652338923967901,0.00015701437955149874,0.0004934926665026368,0.0002372311682619908,0.00025367048822437705,0.000169328162782044,0.0001212891375657288,8.856188370310927e-05,9.26700142276472e-05,0.00017287201001684762,6.585259961189596e-05,7.33510489182725e-05,5.7915007779816115e-05,5.952621120502382e-06,3.0152211747751906e-05,6.699216568287129e-06,0.000795384970894149,3.169183474743345e-05,0.00017041625862921093,0.00023966520374763074,0.0009883727514564337,9.342182762856378e-05,0.00028631626498128523,0.00024337836308261686
4,3.134228187919463e-07,0.0017174178748894022,2.4272209747749753e-06,0.0004544872485692796,0.00044617714931699347,0.0013613087849744575,2.2430953053205213e-05,0.0004151589295971711,0.0003482817213618545,0.0012332534678719937,3.329871861664912e-05,0.0004168737877349335,0.00029775684471056396,0.0007245532020682942,2.6614167893187823e-05,0.0002947369331341344,0.0001184817713727493,3.0056684601586437e-05,0.0001411800256782097,4.022765798370206e-05,5.774127459716603e-05,0.00021363067070527737,0.00019630600288768433,0.00011440990575870234,9.004730007820306e-05
5,3.1677852348993285e-07,0.0022210788696518887,0.0001490847104188511,0.0007297224787792579,0.0004137816372472877,0.000570119387438261,0.0001433545453990265,0.00018904318122273827,0.00015423634105386747,0.0002811622843358792,0.00014226637997505353,9.336024203527161e-05,0.00011177555415759422,0.0027837036231572474,0.00011576754810473405,0.0011592211421644488,0.0004415240324348259,0.0003752715564623952,0.00019247789158530692,0.00028069161436160023,8.861311610103893e-05,5.6721637546639574e-05,0.00018050024792307196,9.452929491874144e-05,7.302644879545307e-05
6,3.2013422818791943e-07,0.0014065030065075065,9.683131058563655e-06,0.00036488941479315677,0.0003885745381678862,0.0012183684322206966,3.996585431832261e-05,0.00038649874455400454,0.00032090430640889744,0.0011420494118551843,5.2793541500805046e-05,0.0004068072323589736,0.00027973770416206574,0.0037639156034638744,0.00015960271956428875,0.0015717424605194924,0.0005940006974293007,0.001435819375005812,0.00012598311225231563,0.0006010589913479056,0.00030430703469528985,0.0007398169235538419,7.104994292270555e-05,0.00025810308860257073,0.0002227369616823906
7,3.23489932885906e-07,0.002670889086103589,0.00014350486764367243,0.0008489693345536513,0.0005119037996645614,0.0007152711492608511,0.0001317874559590768,0.00022052689401290862,0.00018666880196938516,0.0003638165856606933,0.00012948453383428997,0.00010844633984822211,0.00012876978328502615,0.0025178165815437923,0.0001088216624867551,0.0010544039464481885,0.0003953672198658671,0.001965981279243657,2.5831248397041418e-05,0.0006284869995635213,0.0004522533022109518,0.0014635903748994377,7.447653903933658e-07,0.0004140040193277291,0.00036676399897080857
8,3.2684563758389263e-07,0.001586729036444604,9.095794899263213e-06,0.00040884878972064317,0.00043526882644975937,0.0013035804508442252,3.959198491207319e-05,0.00040850854335017597,0.00034229783954036695,0.0012016903007740862,5.12843333137091e-05,0.0004237118468549553,0.0002929780677089993,0.0005234499140057472,2.6009648556720886e-05,0.00022562107323190366,7.912009809678712e-05,0.001377339100368827,5.9706390159854905e-06,0.00034128503300314984,0.0003648881189522341,0.001411629449625075,4.639404765676413e-05,0.0003862496315686874,0.00034354400972307726
9,3.302013422818792e-07,0.0026310796377294584,0.0001469268426363349,0.0008372014382474714,0.0005032740029491191,0.0006237618525710117,0.00013944432891111952,0.00019816787295337407,0.00016870299550572846,0.00028579783809385654,0.00013781592006642776,9.280679529341151e-05,0.00011221604466952157,0.00014992419501012159,2.510511611869154e-06,5.3152418176147175e-05,2.8424953184859968e-05,0.00035160131705468616,8.187905514193845e-05,6.469906148664764e-05,0.0001439866152931245,0.0006625574667604332,0.00015169032414422742,0.00020904322391540888,0.00018289414816517364
10,3.335570469798658e-07,0.002387036942041894,1.902664075822913e-06,0.0006199025462631783,0.0006170955934050496,0.0016415666202243785,2.2703730504122527e-05,0.0004872208787675844,0.000419378472768328,0.0014159532763468327,3.1261394849334324e-05,0.0004685542059788681,0.00033958654818785054,0.002017993039616978,5.834681735033836e-05,0.0007791473792596012,0.00034781730619664854,2.6911914316295124e-05,0.0001670820636524965,0.00010120787897342057,3.5731516686860324e-05,4.29623600245117e-05,0.00020280844615968804,7.68356684881831e-05,6.246322803783471e-05
11,3.3691275167785235e-07,0.001949952611522149,0.00015100452418824093,0.0006475068644418237,0.0003599640801897891,0.00031631584293962534,0.00015918351768055332,0.00012909245819307235,0.00010439532642834924,9.667712748355013e-05,0.00015979553367832607,6.33097773720835e-05,7.0765103802512e-05,0.004368116098073406,0.00013118880270531424,0.0016956209078763653,0.0007469838533574839,0.0007798559714477566,0.0001742196231581235,0.00042127300278124773,0.00016334340620718324,0.00021881334125114108,0.00015088248262144842,0.0001326130065918076,0.00011411390638113061
12,3.402684563758389e-07,0.003925915333888206,2.9786634917660746e-06,0.0010421405969480333,0.000947421770269294,0.0021354736516349467,2.7606990754219217e-06,0.0005956991331981102,0.0005298376054463481,0.0016657615643007925,6.306959727618806e-06,0.0005042056311167271,0.00039640233010419996,0.0049377900899008785,0.0001482469006615735,0.0019140730156829058,0.0008444377155665196,0.00189026164466639,0.00010059795290136694,0.000715456920942501,0.0004078946400553299,0.001036271296029304,5.1684011801546186e-05,0.00032654611137239274,0.0002936317471928093
13,3.436241610738255e-07,0.0007099618659789466,0.00013531073314417756,0.00028486045488244964,0.00011920857858075076,1.5028607782726814e-05,0.00016930022860831963,7.10757140683225e-05,4.4694249363551966e-05,7.733275416443179e-06,0.000173857676228088,7.982903030958847e-05,4.748574838962493e-05,0.0031889051285674784,9.643821849484383e-05,0.0012362498071672716,0.0005445124069795608,0.002313954103633414,1.9677049968636316e-05,0.0007115470669046634,0.0005388062130132939,0.0017281461356867082,1.8087632059512422e-07,0.00047693620481146706,0.0004341975402826903
